CODART;FAMILIA;SUBFAMILIA;Obsoleto
210102;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;COPOS;Si
210908;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215001;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215002;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215003;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215004;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215005;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215007;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215008;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215009;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
215010;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215013;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;PELADOS, EN GRANO;No
215015;CEREALES, MUESLIS, HINCHADOS Y CRUJIENTES;HINCHADOS Y CRUJIENTES;No
220001;ARROCES Y LEGUMBRES;ARROCES;No
220002;ARROCES Y LEGUMBRES;ARROCES;No
220003;ARROCES Y LEGUMBRES;ARROCES;No
220004;ARROCES Y LEGUMBRES;ARROCES;No
220005;ARROCES Y LEGUMBRES;ARROCES;No
220006;ARROCES Y LEGUMBRES;ARROCES;No
220007;ARROCES Y LEGUMBRES;ARROCES;No
220008;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220009;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220010;ARROCES Y LEGUMBRES;ARROCES;Si
220011;ARROCES Y LEGUMBRES;ARROCES;Si
220012;ARROCES Y LEGUMBRES;ARROCES;Si
220014;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220015;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220016;SOPAS Y PLATOS PREPARADOS;PLATOS PREPARADOS;No
220018;ARROCES Y LEGUMBRES;ARROCES;No
